snapped_at,price,market_cap,total_volume
2025-01-19 00:00:00 UTC,1.0689590417297028,379257183.14200604,2973901.3529586596
2025-01-20 00:00:00 UTC,1.0762658632618947,382660516.00058854,2703005.232678446
2025-01-21 00:00:00 UTC,1.0664735896681679,377836971.5721685,4697279.805573872
2025-01-22 00:00:00 UTC,1.0713025659439035,379163783.57205206,5969481.6549710445
2025-01-23 00:00:00 UTC,1.0683145681476145,378297461.34481066,1573956.7134666576
2025-01-24 00:00:00 UTC,1.0737960771431643,380394511.1579684,17376655.394800514
2025-01-25 00:00:00 UTC,1.069686806972981,379139495.1640359,2651810.360362535
2025-01-26 00:00:00 UTC,1.0664405454141794,377994301.98123604,965810.6616325907
2025-01-27 00:00:00 UTC,1.0674236899751124,377952870.916049,626272.6201970552
2025-01-28 00:00:00 UTC,1.0719975983975685,379602389.77654946,2259721.103404262
2025-01-29 00:00:00 UTC,1.073114592486037,380000881.32058257,4572952.917142332
2025-01-30 00:00:00 UTC,1.068320906038292,378303386.02645355,6732295.530243089
2025-01-31 00:00:00 UTC,1.0766961386076688,381358889.9893697,9551926.627411054
2025-02-01 00:00:00 UTC,1.0772081694636646,381465817.2211301,1434716.3285208184
2025-02-02 00:00:00 UTC,1.0774870666435385,382049129.42551386,1389500.2630737436
2025-02-03 00:00:00 UTC,1.0794525534613324,382176444.3149408,3205071.481214091
2025-02-04 00:00:00 UTC,1.0782454155709387,381890597.2494357,15174708.67317651
2025-02-05 00:00:00 UTC,1.0782442134812276,381878948.67748594,1450315.880438584
2025-02-06 00:00:00 UTC,1.0782669140507262,381266171.7778584,843483.0360093148
2025-02-07 00:00:00 UTC,1.077831179485677,381760497.1183561,1115461.569285643
2025-02-08 00:00:00 UTC,1.0761732637409545,381083679.3739206,3441240.1788252224
2025-02-09 00:00:00 UTC,1.076662729253624,381470489.15503556,479699.1218011769
2025-02-10 00:00:00 UTC,1.0778610935363628,381696373.73006666,305543.87923765596
2025-02-11 00:00:00 UTC,1.0774138407354845,378652521.0693523,467914.1863759594
2025-02-12 00:00:00 UTC,1.0769367853366072,378420405.39632314,1389970.1017724904
2025-02-13 00:00:00 UTC,1.0806137093004717,378020963.22753865,1069235.2925305553
2025-02-14 00:00:00 UTC,1.0780608107551286,378729063.6910911,2904897.196558615
2025-02-15 00:00:00 UTC,1.085917714780258,381419265.0915991,3517725.7223142255
2025-02-16 00:00:00 UTC,1.0774172932343178,378491310.89227533,8459803.059597619
2025-02-17 00:00:00 UTC,1.0704392880229505,376035402.65162635,1421058.193528018
2025-02-18 00:00:00 UTC,1.078687630240716,378953833.2495581,1932171.5058608926
2025-02-19 00:00:00 UTC,1.0780841360973559,379663967.34826404,930202.5853679602
2025-02-20 00:00:00 UTC,1.0768548372752773,378239027.4241195,3268620.9099067855
2025-02-21 00:00:00 UTC,1.0780414695934037,378897281.0764078,454554.6014506021
2025-02-22 00:00:00 UTC,1.0847638482729842,380898754.9530175,4715708.857393144
2025-02-23 00:00:00 UTC,1.0780351476930923,378565252.56627715,1272933.1575272758
2025-02-24 00:00:00 UTC,1.0796035111885853,379548176.61768466,8739086.5043958
2025-02-25 00:00:00 UTC,1.0801277755782817,378637615.11803013,2963734.9182623173
2025-02-26 00:00:00 UTC,1.0852017713456612,381109798.69046366,6022057.050740718
2025-02-27 00:00:00 UTC,1.0881114818989888,382161870.08582455,10011787.745290473
2025-02-28 00:00:00 UTC,1.0890360147546483,382436970.9362796,1700576.638285021
2025-03-01 00:00:00 UTC,1.088413272879662,382206644.7523757,3306760.052066801
2025-03-02 00:00:00 UTC,1.0900304513442358,382562024.5077609,12754207.888811758
2025-03-03 00:00:00 UTC,1.094532001521427,384335094.4362664,5571576.100629242
2025-03-04 00:00:00 UTC,1.0947586348439897,387490081.3374161,9059886.659555417
2025-03-05 00:00:00 UTC,1.0868201296525901,384691719.6380776,2152029.4263870204
2025-03-06 00:00:00 UTC,1.0817975402077942,382960579.4717884,21785379.23215288
2025-03-07 00:00:00 UTC,1.0836452222092252,383638099.60505325,10425527.903136296
2025-03-08 00:00:00 UTC,1.0918449328391364,386517779.59940684,829895.8464328385
2025-03-09 00:00:00 UTC,1.0965293259588154,388101045.0148008,6594298.608003834
2025-03-10 00:00:00 UTC,1.0946789727419024,387495289.8464973,1244789.8040147459
2025-03-11 00:00:00 UTC,1.092943083999439,386873755.5029097,3563415.31892043
2025-03-12 00:00:00 UTC,1.0884992523868138,385300740.39262635,4767160.502048782
2025-03-13 00:00:00 UTC,1.0921875755731334,386606359.0600561,9124509.651701588
2025-03-14 00:00:00 UTC,1.0866775448662074,384625931.008766,608591.1485401833
2025-03-15 00:00:00 UTC,1.0939420196825644,387227387.16018015,3567654.2307606055
2025-03-16 00:00:00 UTC,1.0919635816352413,386526870.7430463,5565412.954899286
2025-03-17 00:00:00 UTC,1.091186861442058,386279702.9657223,704057.8829537991
2025-03-18 00:00:00 UTC,1.0912987730614399,386303761.11147976,1367076.6039107412
2025-03-19 00:00:00 UTC,1.0870688786553844,384829096.92581046,308850.20788731595
2025-03-20 00:00:00 UTC,1.0908003206070838,386116362.8353088,428689.10451729404
2025-03-21 00:00:00 UTC,1.091203361146276,386258200.32941437,723250.1125914073
2025-03-22 00:00:00 UTC,1.0894938045736764,385652816.43763083,720287.6353838792
2025-03-23 00:00:00 UTC,1.0862668670530322,384550078.6758428,198924.2912090479
2025-03-24 00:00:00 UTC,1.0893127882126716,385625177.571366,1294078.8363218626
2025-03-25 00:00:00 UTC,1.0930190400680648,386903427.4417426,2891062.916551704
2025-03-26 00:00:00 UTC,1.0961298892409364,388048075.5107053,4312423.982757557
2025-03-27 00:00:00 UTC,1.095305653607077,387760145.14613986,1899275.3710681037
2025-03-28 00:00:00 UTC,1.09557079741081,387807084.8618714,1151347.659834275
2025-03-29 00:00:00 UTC,1.0957881871147337,387883096.8983913,1942463.5950482772
2025-03-30 00:00:00 UTC,1.0912317674097103,386247326.5823714,4005785.1090636975
2025-03-31 00:00:00 UTC,1.1047928351116862,391068264.2101513,6570629.36864624
2025-04-01 00:00:00 UTC,1.106250500101316,393665254.5510975,2720589.7973208106
2025-04-02 00:00:00 UTC,1.0998755848540902,382804902.9376224,4423926.836846426
2025-04-03 00:00:00 UTC,1.105235560951512,384668163.46297115,4255995.292490994
2025-04-04 00:00:00 UTC,1.0934646294621417,380571365.9305599,2994897.612220136
2025-04-05 00:00:00 UTC,1.1006309042273337,383066105.6274858,4323039.839806243
2025-04-06 00:00:00 UTC,1.0989436670814503,382443794.3766289,5309359.527976879
2025-04-07 00:00:00 UTC,1.0967415661318582,381690705.1842567,651824.2597176994
2025-04-08 00:00:00 UTC,1.0963235331018242,433250351.4292133,2944012.5697603044
2025-04-09 00:00:00 UTC,1.1036813172317828,436094412.93223995,4573972.616152769
2025-04-10 00:00:00 UTC,1.1169795386294799,441340760.3237041,4966699.415698574
2025-04-11 00:00:00 UTC,1.1187065385493198,442010884.920037,1252703.2413275454
2025-04-12 00:00:00 UTC,1.1013409975940176,434509811.1222411,1525337.5093685354
2025-04-13 00:00:00 UTC,1.1060998547225127,437029590.4371797,3556519.105499571
2025-04-14 00:00:00 UTC,1.1063828323406915,437096072.6790558,2866938.5902194064
2025-04-15 00:00:00 UTC,1.1048380225860972,593751906.49356,2627904.9474039865
2025-04-16 00:00:00 UTC,1.0886311870159895,584956650.1106794,509510.19144040084
2025-04-17 00:00:00 UTC,1.1047442499577136,593759098.6966233,2881766.570307033
2025-04-18 00:00:00 UTC,1.1037849929881824,593207377.386805,1973764.9533720883
2025-04-19 00:00:00 UTC,1.1032307043368434,592882699.6579574,1413713.9706415462
2025-04-20 00:00:00 UTC,1.1003344318214823,591330124.4733403,750254.0733718926
2025-04-21 00:00:00 UTC,1.1080193076209897,595456952.0112149,631616.67335468
2025-04-22 00:00:00 UTC,1.092558216142022,587067987.0335578,496328.8637204005
2025-04-23 00:00:00 UTC,1.0967833404141603,589477145.331168,4737402.107111705
2025-04-24 00:00:00 UTC,1.0992347964650957,590658884.4601953,1402972.107106932
2025-04-25 00:00:00 UTC,1.0921797221046718,586940842.1189693,879576.3372844252
2025-04-26 00:00:00 UTC,1.1044229582178742,593522612.3431253,4228877.202817001
2025-04-27 00:00:00 UTC,1.1106183893771508,596853524.6620313,1767180.2997520082
2025-04-28 00:00:00 UTC,1.123435325546155,603690504.409187,1694505.8908661318
2025-04-29 00:00:00 UTC,1.0950400412821113,588494063.8996037,3312139.609530249
2025-04-30 00:00:00 UTC,1.1078313660991392,595407702.0846738,562776.8968569604
2025-05-01 00:00:00 UTC,1.0926766746126217,587263404.6582893,2214988.060229009
2025-05-02 00:00:00 UTC,1.1008368479842088,591703588.2248386,1576551.8605288158
2025-05-03 00:00:00 UTC,1.1083751918280131,595689208.1985723,1965211.0212025116
2025-05-04 00:00:00 UTC,1.1111704529855229,597191847.7904996,1259564.728062847
2025-05-05 00:00:00 UTC,1.1056235911422785,594212238.7862449,1859875.7253172712
2025-05-06 00:00:00 UTC,1.1120314688148165,597695649.9005549,1668181.3412150275
2025-05-07 00:00:00 UTC,1.0913041661914833,586475156.5439129,1617337.022218955
2025-05-08 00:00:00 UTC,1.1003598056009867,589257491.0727365,1086588.7111090214
2025-05-09 00:00:00 UTC,1.1111109537811101,595056305.9314709,3786031.8281327193
2025-05-10 00:00:00 UTC,1.1067476274091315,592719297.0723261,4457985.674401285
2025-05-11 00:00:00 UTC,1.094725470485765,586262919.4482725,2242245.612701246
2025-05-12 00:00:00 UTC,1.1048395562269269,591682975.0536035,1136937.8458006328
2025-05-13 00:00:00 UTC,1.1079036420471073,593341404.4827077,3545601.6581970425
2025-05-14 00:00:00 UTC,1.0992380520049114,588717167.8274239,2087226.0446808669
2025-05-15 00:00:00 UTC,1.109953284346341,594441935.7781413,1597688.0181176953
2025-05-16 00:00:00 UTC,1.1025760303974415,590474416.9349797,635051.4391997755
2025-05-17 00:00:00 UTC,1.1002305261808067,589191761.4969376,2092273.1684823495
2025-05-18 00:00:00 UTC,1.121384491671503,600568942.5464213,1537387.0236579282
2025-05-19 00:00:00 UTC,1.11002162224275,594460384.3084238,1963353.1058436488
2025-05-20 00:00:00 UTC,1.102847013790702,590634342.0171286,2461051.972441572
2025-05-21 00:00:00 UTC,1.1117072754668031,595282566.0513393,1442355.1991598501
2025-05-22 00:00:00 UTC,1.1037560649374618,591021084.4827214,2458135.1745987013
2025-05-23 00:00:00 UTC,1.104776725391887,591623674.6572127,2946396.0620577615
2025-05-24 00:00:00 UTC,1.081389289029293,579044494.163948,187057.6534727867
2025-05-25 00:00:00 UTC,1.088526318702764,582872530.8646475,74121.35818189589
2025-05-26 00:00:00 UTC,1.089577945652459,583430332.913804,550146.56882946
